"filename", "language", "SCSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\employees\models\dtos\update-product-dto.ts", "TypeScript", 0, 11, 0, 0, 0, 2, 13
"d:\JS\light-store\src\app\modules\employees\models\dtos\update-products-category-dto.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\employees\models\employee.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"d:\JS\light-store\src\app\modules\employees\models\product-in-adding.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\employees\models\products-adding-details.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"d:\JS\light-store\src\app\modules\employees\models\products-adding.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"d:\JS\light-store\src\app\modules\employees\pages\employee-base-layout\employee-base-layout.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"d:\JS\light-store\src\app\modules\employees\pages\employee-base-layout\employee-base-layout.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\pages\employee-base-layout\employee-base-layout.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\employees\pages\employee-page\employee-page.component.html", "HTML", 0, 0, 9, 0, 0, 1, 10
"d:\JS\light-store\src\app\modules\employees\pages\employee-page\employee-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\pages\employee-page\employee-page.component.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 16
"d:\JS\light-store\src\app\modules\employees\services\employee.service.ts", "TypeScript", 0, 37, 0, 0, 0, 6, 43
"d:\JS\light-store\src\app\modules\employees\services\product.service.ts", "TypeScript", 0, 39, 0, 0, 0, 5, 44
"d:\JS\light-store\src\app\modules\employees\services\products-adding.service.ts", "TypeScript", 0, 38, 0, 0, 0, 5, 43
"d:\JS\light-store\src\app\modules\employees\services\products-category.service.ts", "TypeScript", 0, 46, 0, 0, 0, 6, 52
"d:\JS\light-store\src\app\modules\employees\tabs\orders-tab\orders-tab.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"d:\JS\light-store\src\app\modules\employees\tabs\orders-tab\orders-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\orders-tab\orders-tab.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\employees\tabs\product-editor-tab\product-editor-tab.component.html", "HTML", 0, 0, 67, 0, 0, 9, 76
"d:\JS\light-store\src\app\modules\employees\tabs\product-editor-tab\product-editor-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\product-editor-tab\product-editor-tab.component.ts", "TypeScript", 0, 144, 0, 0, 2, 22, 168
"d:\JS\light-store\src\app\modules\employees\tabs\products-adding-view-tab\products-adding-view-tab.component.html", "HTML", 0, 0, 18, 0, 0, 1, 19
"d:\JS\light-store\src\app\modules\employees\tabs\products-adding-view-tab\products-adding-view-tab.component.scss", "SCSS", 9, 0, 0, 0, 0, 2, 11
"d:\JS\light-store\src\app\modules\employees\tabs\products-adding-view-tab\products-adding-view-tab.component.ts", "TypeScript", 0, 26, 0, 0, 0, 5, 31
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-editor-tab\products-addings-editor-tab.component.html", "HTML", 0, 0, 22, 0, 0, 1, 23
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-editor-tab\products-addings-editor-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-editor-tab\products-addings-editor-tab.component.ts", "TypeScript", 0, 75, 0, 0, 2, 16, 93
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-tab\products-addings-tab.component.html", "HTML", 0, 0, 6, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-tab\products-addings-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\products-addings-tab\products-addings-tab.component.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"d:\JS\light-store\src\app\modules\employees\tabs\products-categories-tab\products-categories-tab.component.html", "HTML", 0, 0, 8, 0, 0, 1, 9
"d:\JS\light-store\src\app\modules\employees\tabs\products-categories-tab\products-categories-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\products-categories-tab\products-categories-tab.component.ts", "TypeScript", 0, 31, 0, 0, 0, 9, 40
"d:\JS\light-store\src\app\modules\employees\tabs\products-category-editor-tab\products-category-editor-tab.component.html", "HTML", 0, 0, 40, 0, 0, 4, 44
"d:\JS\light-store\src\app\modules\employees\tabs\products-category-editor-tab\products-category-editor-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\products-category-editor-tab\products-category-editor-tab.component.ts", "TypeScript", 0, 93, 0, 0, 2, 16, 111
"d:\JS\light-store\src\app\modules\employees\tabs\products-tab\products-tab.component.html", "HTML", 0, 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\employees\tabs\products-tab\products-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\tabs\products-tab\products-tab.component.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"d:\JS\light-store\src\app\modules\jwt\app-jwt.module.ts", "TypeScript", 0, 20, 0, 0, 0, 3, 23
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.html", "HTML", 0, 0, 26, 0, 0, 4, 30
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.ts", "TypeScript", 0, 61, 0, 0, 2, 10, 73
"d:\JS\light-store\src\app\modules\shared\components\dropdown-label\dropdown-label.component.html", "HTML", 0, 0, 6, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\shared\components\dropdown-label\dropdown-label.component.scss", "SCSS", 13, 0, 0, 0, 0, 2, 15
"d:\JS\light-store\src\app\modules\shared\components\dropdown-label\dropdown-label.component.ts", "TypeScript", 0, 17, 0, 0, 0, 4, 21
"d:\JS\light-store\src\app\modules\shared\components\footer\footer.component.html", "HTML", 0, 0, 24, 0, 0, 1, 25
"d:\JS\light-store\src\app\modules\shared\components\footer\footer.component.scss", "SCSS", 23, 0, 0, 0, 0, 3, 26
"d:\JS\light-store\src\app\modules\shared\components\footer\footer.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\shared\components\form-error\form-error.component.html", "HTML", 0, 0, 3, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\shared\components\form-error\form-error.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\form-error\form-error.component.ts", "TypeScript", 0, 38, 0, 0, 0, 8, 46
"d:\JS\light-store\src\app\modules\shared\components\form-section\form-section.component.html", "HTML", 0, 0, 6, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\shared\components\form-section\form-section.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\form-section\form-section.component.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 16
"d:\JS\light-store\src\app\modules\shared\components\header\header.component.html", "HTML", 0, 0, 37, 0, 0, 1, 38
"d:\JS\light-store\src\app\modules\shared\components\header\header.component.scss", "SCSS", 6, 0, 0, 0, 0, 2, 8
